HLÖ	Max	InARow
007	4	4
009	2	2
011	4	4
012	4	4
014	4	4
015	4	4
016	3	3
018	4	4
022	4	4
023	4	4
024	4	4
025	4	4
027	4	4
028	3	3
029	3	3
031	4	2
033	4	4
034	3	3
035	4	2
036	4	4
037	3	3
038	3	3
039	4	4
040	4	4
041	4	2
043	4	2
045	4	4
046	2	2
047	4	4
048	4	2
050	0	0
051	4	2
052	4	4
053	4	2
055	3	3
059	4	2
060	3	3
061	4	2
062	4	2
063	4	4
064	4	2
065	4	4
066	2	2
067	2	2
068	4	4
070	3	3
074	4	2
075	4	4
076	4	2
078	2	2
079	2	2
080	4	4
081	4	2
082	4	2
083	4	2
084	4	4
085	4	2
088	4	4
089	4	4
090	4	4
098	4	2
100	4	2
101	4	4
103	4	2
105	4	2
107	4	2
108	3	3
109	3	3
110	2	2
111	3	3
113	3	3
115	2	2
118	4	4
119	2	2
120	3	3
121	4	4
122	3	3
123	4	4
124	3	3
125	3	3
126	3	3
127	3	3
128	3	3
129	3	3
131	4	4
132	4	4
133	3	3
134	4	4
135	3	3
136	4	2
137	3	3
138	3	3
139	3	3
140	4	2
141	3	3
142	4	2
143	4	4
144	4	4
145	4	4
146	4	4
147	4	2
148	3	3
149	3	3
150	4	4
151	4	4
152	2	2
153	4	4
154	4	2
155	2	2
156	4	4
157	4	4
166	4	4
167	0	0
168	4	4
170	3	3
174	4	4
176	4	4
